Name,District Number,District Name,Class,Group,TD1: Degree,TD1: Major/Field,TD1: School,TD1: Year,TD2: Degree,TD2: Major/Field,TD2: School,TD2: Year,City,State,Job Title,Organization,Sector,Race,Gender,Birth Year,Age at Start,FOMC Combined,FOMC Pre-reorg,FOMC Pre Start Year,FOMC Pre End Year,FOMC Post-reorg,FOMC Post Start Year,FOMC Post End Year,Start Year (pos.),End Year (pos.),title,first,middle,last,suffix,nickname,middle_initial
MERLE E GILLIAND,4,Cleveland,A,1.0,Bachelor's,Business Administration,Duquesne University,,,,,,Pittsburgh,Pennsylvania,Chairman & Chief Executive Officer,Pittsburgh National Bank,Banking,,M,1922,53,,,,,,,,1975,1977,,MERLE,E,GILLIAND,,,E
"JAMES A HARDISON, JR",5,Richmond,A,3.0,Bachelor's,,University of North Carolina,,,,,,Wadesboro,North Carolina,Chairman & President,First National Bank of Anson County,Banking,,M,1930,45,,,,,,,,1975,1977,,JAMES,A,HARDISON,JR,,A
JOHN F SPIES,7,Chicago,A,3.0,,,,,,,,,Emmetsburg,Iowa,President,Iowa Trust & Saving Bank,Banking,W,M,1931,44,,,,,,,,1975,1980,,JOHN,F,SPIES,,,F
LEO H SCHOENHOFEN,7,Chicago,C,,,,,,,,,,Chicago,Illinois,Chairman of the Board,"Marcor, Inc.",Manufacturing,W,M,1916,59,,,,,,,,1975,1977,,LEO,H,SCHOENHOFEN,,,H
DONALD N BRANDIN,8,St. Louis,A,1.0,,,,,,,,,St. Louis,Missouri,Chairman of the Board & President,Boatmen's National Bank of St. Louis,Banking,,M,1910,65,,,,,,,,1975,1980,,DONALD,N,BRANDIN,,,N
RALPH C BAIN,8,St. Louis,B,3.0,,,,,,,,,Evansville,Indiana,Senior Vice President & General Manager,"Arkla Industries, Inc.",Manufacturing,W,M,1925,50,,,,,,,,1975,1980,,RALPH,C,BAIN,,,C
WILLIAM E RYAN,9,Minneapolis,A,2.0,,,,,,,,,Ontonagon,Michigan,President,Citizens State Bank of Michigan,Banking,,M,1911,64,,,,,,,,1975,1977,,WILLIAM,E,RYAN,,,E
DONALD P HELGESON,9,Minneapolis,B,3.0,,,,,,,,,St. Cloud,Minnesota,Secretary & Treasurer,"Jack Frost, Inc.",Real Estate & Construction,W,M,1927,48,,,,,,,,1975,1980,,DONALD,P,HELGESON,,,P
CRAIG BACHMAN,10,Kansas City,A,3.0,,,,,,,,,Centralia,Kansas,President,First National Bank of Centralia,Banking,W,M,1923,52,,,,,,,,1975,1978,,CRAIG,,BACHMAN,,,
JOSEPH H WILLIAMS,10,Kansas City,C,,Bachelor's,,Yale University,1956,,,,,Tulsa,Oklahoma,President,Williams Companies,Real Estate & Construction,W,M,1933,42,,,,,,,,1975,1976,,JOSEPH,H,WILLIAMS,,,H
FRANK JUNELL,11,Dallas,A,2.0,Master's,Journalism,University of Missouri,,,,,,San Angelo,Texas,Chairman of the Board,Central National Bank of San Angelo,Banking,W,M,1914,61,,,,,,,,1975,1980,,FRANK,,JUNELL,,,
GERALD D HINES,11,Dallas,B,3.0,Bachelor's,Mechanical Engineering,Purdue University,1948,,,,,Houston,Texas,Owner,Gerald D. Hines Interests,Real Estate & Construction,W,M,1925,50,,,,,,,,1975,1978,,GERALD,D,HINES,,,D
CORNELL C MAIER,12,San Francisco,C,,Bachelor's,Electrical engineering,University of California at Berkeley,,,,,,Oakland,California,Chief Executive Officer & President,Kaiser Aluminum & Chemical Corporation,Engineering,W,M,1925,50,,,,,,,,1975,1976,,CORNELL,C,MAIER,,,C
ROBERT HENRY STROTZ,7,Chicago,C Dep. Chair,,Bachelor's,Economics,University of Chicago,1942,,,,,Evanston,Illinois,Leo,Northwestern University,Education,W,M,1922,53,,,,,,,,1975,1977,,ROBERT,HENRY,STROTZ,,,H
PETER B CLARK,7,Chicago,C Chair,,,,,,,,,,Detroit,Michigan,"Chairman of the Board, President, & Publisher",Evening News Association,Publishing,W,M,1928,47,,,,,,,,1975,1977,,PETER,B,CLARK,,,B
HAROLD W ANDERSEN,10,Kansas City,C Dep. Chair,,Bachelor's,Journalism,University of Nebraska,1945,,,,,Omaha,Nebraska,President,World Publishing Company,Publishing,W,M,1923,52,,,,,,,,1975,1976,,HAROLD,W,ANDERSEN,,,W
ROBERT T PERSON,10,Kansas City,C Chair,,,,,,,,,,Denver,Colorado,Chairman of the Board & President,Public Service Company of Colorado,Utilities,W,M,1914,61,,,,,,,,1975,1976,,ROBERT,T,PERSON,,,T
LOUIS WELLINGTON CABOT,1,Boston,C Chair,,Master's,Business,Harvard University,1948,,,,,Boston,Massachusetts,Chairman of the Board,Cabot Corporation,Engineering,W,M,1921,54,,,,,,,,1975,1978,,LOUIS,WELLINGTON,CABOT,,,W
JOHN D ROBINSON,1,Boston,A,3.0,Bachelor's,,University of Michigan,,,,,,Farmington,Maine,President,"Firstbank, N.A. of Farmington",Banking,,M,1925,51,,,,,,,,1976,1978,,JOHN,D,ROBINSON,,,D
HARRY J TAW,2,New York,A,3.0,,,,,,,,,Cortland,New York,President,First National Bank of Cortland,Banking,,M,1913,63,,,,,,,,1976,1977,,HARRY,J,TAW,,,J
ROBERT H KNIGHT,2,New York,C Dep. Chair,,JD,Law,University of Virginia,1947,,,,,New York,New York,Partner,"Shearman & Sterling, Attorneys",Law,W,M,1919,57,,,,,,,,1976,1977,,ROBERT,H,KNIGHT,,,H
JAMES PATCHELL,3,Philadelphia,A,2.0,,,,,,,,,Woodbury,New Jersey,Chief Executive Officer & President,National Bank and Trust Company of Gloucester County,Banking,,M,,,,,,,,,,1976,1978,,JAMES,,PATCHELL,,,
JACK K BUSBY,3,Philadelphia,B,2.0,JD,Law,Yale University,,,,,,Allentown,Pennsylvania,Chief Executive Officer & President,Pennsylvania Power & Light Company,Utilities,W,M,1917,59,,,,,,,,1976,1978,,JACK,K,BUSBY,,,K
WERNER C BROWN,3,Philadelphia,C,,Bachelor's,Chemistry,Duke University,,,,,,Wilmington,Delaware,President,Hercules Incorporated,Manufacturing,W,M,1919,57,,,,,,,,1976,1976,,WERNER,C,BROWN,,,C
JOHN W ECKMAN,3,Philadelphia,C Dep. Chair,,Bachelor's,Economics,University of Pennsylvania,1943,,,,,Fort Washington,Pennsylvania,Chairman & President,"Rorer-Amchem, Inc.",Pharmaceuticals,W,M,1919,57,,,,,,,,1976,1976,,JOHN,W,ECKMAN,,,W
JOHN W ALFORD,4,Cleveland,A,2.0,Bachelor's,,DePauw University,,,,,,Newark,Ohio,Chairman of the Board & Chief Executive Officer,Park National Bank,Banking,W,M,1912,64,,,,,,,,1976,1982,,JOHN,W,ALFORD,,,W
JOHN J DWYER,4,Cleveland,B,3.0,,,,,,,,,Cleveland,Ohio,President,Oglebay Norton Co.,"Energy, Mining, & Extraction",W,M,1918,58,,,,,,,,1976,1978,,JOHN,J,DWYER,,,J
J OWEN COLE,5,Richmond,A,1.0,Bachelor's,,Duke University,,,,,,Baltimore,Maryland,Chairman of the Board & President,First National Bank of Maryland,Banking,W,M,1929,47,,,,,,,,1976,1978,,J,OWEN,COLE,,,O
MACEO A SLOAN,5,Richmond,C,,JD,Law,North Carolina University,1979,,,,,Durham,North Carolina,Executive Vice President,North Carolina Mutual Life Insurance Co.,Insurance,NW,M,1949,27,,,,,,,,1976,1977,,MACEO,A,SLOAN,,,A
"FRED ADAMS, JR",6,Atlanta,C,,Bachelor's,Marketing and Business Administration,University of Southern Mississippi,1954,,,,,Jackson,Mississippi,President,"Cal-Maine Foods, Inc.",Agriculture & Food Processing,W,M,1932,44,,,,,,,,1976,1981,,FRED,,ADAMS,JR,,
A ROBERT ABBOUD,7,Chicago,A,1.0,Master's,Business Administration,Harvard University,1958,,,,,Chicago,Illinois,Chairman of the Board,First National Bank of Chicago,Banking,W,M,1929,47,,,,,,,,1976,1979,,A,ROBERT,ABBOUD,,,R
WILLIAM B WALTON,8,St. Louis,C Dep. Chair,,,,,,,,,,Memphis,Tennessee,Vice Chairman of the Board,Holiday Inns,Real Estate & Construction,W,M,1921,55,,,,,,,,1976,1981,,WILLIAM,B,WALTON,,,B
JOHN S ROUZIE,9,Minneapolis,A,3.0,,,,,,,,,Bowman,North Dakota,President,First National Bank of Bowman,Banking,W,M,1913,63,,,,,,,,1976,1978,,JOHN,S,ROUZIE,,,S
RUSSELL G CLEARY,9,Minneapolis,B,2.0,JD,Law,University of Wisconsin,1957,,,,,La Crosse,Wisconsin,"Chairman, Chief Executive Officer, & President","G. Heileman Brewing Company, Inc.",Agriculture & Food Processing,W,M,1933,43,,,,,,,,1976,1981,,RUSSELL,G,CLEARY,,,G
STEPHEN F KEATING,9,Minneapolis,C Dep. Chair,,JD,Law,University of Minnesota,,,,,,Minneapolis,Minnesota,Chairman of the Board,"Honeywell, Inc.",Engineering,W,M,1918,58,,,,,,,,1976,1978,,STEPHEN,F,KEATING,,,F
"JAMES M KEMPER, JR",10,Kansas City,A,1.0,Bachelor's,,Yale University,,,,,,Kansas City,Missouri,Chairman & President,Commerce Bancshares,Banking,W,M,1921,55,,,,,,,,1976,1978,,JAMES,M,KEMPER,JR,,M
ALAN R SLEEPER,10,Kansas City,B,2.0,,,,,,,,,Alden,Kansas,Rancher,Sleeper Ranch,Agriculture & Food Processing,W,M,1917,59,,,,,,,,1976,1981,,ALAN,R,SLEEPER,,,R
RONALD S HANSON,12,San Francisco,A,3.0,Master's,Banking,Pacific Coast Banking,1962,,,,,Logan,Utah,Chief Executive Officer & President,First National Bank of Logan,Banking,W,M,1931,45,,,,,,,,1976,1978,,RONALD,S,HANSON,,,S
MALCOLM T STAMPER,12,San Francisco,B,2.0,JD,Law,University of Michigan,,,,,,Seattle,Washington,President,Boeing Company,Manufacturing,W,M,1925,51,,,,,,,,1976,1981,,MALCOLM,T,STAMPER,,,T
E ANGUS POWELL,5,Richmond,C Chair,,Master's,Business,University of North Carolina,1978,,,,,Richmond,Virginia,President,Chesterfield Land & Timber Corp.,"Energy, Mining, & Extraction",W,M,1948,28,,,,,,,,1976,1978,,E,ANGUS,POWELL,,,A
JAMES P MCFARLAND,9,Minneapolis,C Chair,,Master's,Business,Dartmouth College,1934,,,,,Minneapolis,Minnesota,Chairman of the Board,General Mills,Agriculture & Food Processing,W,M,1912,64,,,,,,,,1976,1978,,JAMES,P,MCFARLAND,,,P
FRANK R MILLIKEN,2,New York,C Chair,2.0,Bachelor's,,Massachusetts Institute of Technology,1934,,,,,New York,New York,President,Kennecott Copper Corporation,"Energy, Mining, & Extraction",W,M,1922,54,,,,,,,,1976,1977,,FRANK,R,MILLIKEN,,,R
"JOHN HUNTER, JR",1,Boston,A,2.0,,,,,,,,,Brattleboro,Vermont,President,Vermont National Bank,Banking,W,M,,,,,,,,,,1977,1979,,JOHN,,HUNTER,JR,,
ELLMORE C PATTERSON,2,New York,A,1.0,Bachelor's,,University of Chicago,1935,,,,,New York,New York,Chairman of the Board,Morgan Guaranty Trust Company of New York,Banking,W,M,1914,63,,,,,,,,1977,1979,,ELLMORE,C,PATTERSON,,,C
RAYMOND W BAUER,2,New York,A,2.0,JD,Law,Rutgers University,1942,,,,,Elizabeth,New Jersey,Chairman & President,United Counties Trust Company,Banking,W,M,1915,62,,,,,,,,1977,1980,,RAYMOND,W,BAUER,,,W
JOHN R MULHEARN,2,New York,B,3.0,Master's,,Stevens Institute of Technology,1952,,,,,New York,New York,President,New York Telephone Company,Telecommunications,,M,1924,53,,,,,,,,1977,1978,,JOHN,R,MULHEARN,,,R
BORIS YAVITZ,2,New York,C,,PhD,,Columbia University,1964,,,,,New York,New York,Dean,Graduate School of Business of Columbia University,Education,W,M,1923,54,,,,,,,,1977,1977,,BORIS,,YAVITZ,,,
WJ SMOUSE,3,Philadelphia,A,3.0,,,,,,,,,Bedford,Pennsylvania,President,First National Bank in Bedford,Banking,,M,1920,57,,,,,,,,1977,1977,,WJ,,SMOUSE,,,
JEAN A CROCKETT,3,Philadelphia,C,,PhD,Economics,University of Chicago,,,,,,Philadelphia,Pennsylvania,Chairman & Professor of Finance,Wharton School of University of Pennsylvania,Education,W,F,1919,58,,,,,,,,1977,1980,,JEAN,A,CROCKETT,,,A
RICHARD P RAISH,4,Cleveland,A,3.0,,,,,,,,,Bellevue,Ohio,President,First National Bank of Bellevue,Banking,,M,1917,60,,,,,,,,1977,1978,,RICHARD,P,RAISH,,,P
"FRANK B ROBARDS, JR",5,Richmond,A,2.0,Bachelor's,,The Citadel University,,,,,,Rock Hill,South Carolina,President,Rock Hill National Bank,Banking,,M,1929,48,,,,,,,,1977,1979,,FRANK,B,ROBARDS,JR,,B
PAUL E REICHARDT,5,Richmond,B,1.0,Bachelor's,,Drexel University,,,,,,Washington,D.C.,Chairman of the Board & Chief Executive Officer,Washington Gas Light Company,Utilities,W,M,1918,59,,,,,,,,1977,1978,,PAUL,E,REICHARDT,,,E
JEAN MCARTHUR DAVIS,6,Atlanta,B,3.0,,,,,,,,,Miami,Florida,President,"McArthur Dairy, Inc.",Agriculture & Food Processing,W,F,1925,52,,,,,,,,1977,1982,,JEAN,MCARTHUR,DAVIS,,,M
VIRGINIA M BAILEY,8,St. Louis,B,2.0,,,,,,,,,Little Rock,Arkansas,Owner,Eldo Properties,Real Estate Brokerage,W,F,1925,52,,,,,,,,1977,1979,,VIRGINIA,M,BAILEY,,,M
ARMAND C STALNAKER,8,St. Louis,C,,PhD,Personal Psychology,Ohio State University,,,,,,St. Louis,Missouri,Chairman & President,General American Life Insurance Co.,Insurance,W,M,1916,61,,,,,,,,1977,1977,,ARMAND,C,STALNAKER,,,C
NELS E TURNQUIST,9,Minneapolis,A,1.0,,,,,,,,,Sioux Falls,South Dakota,President,National Bank of South Dakota,Banking,W,M,1925,52,,,,,,,,1977,1979,,NELS,E,TURNQUIST,,,E
"CHARLES W POE, JR",9,Minneapolis,C,,,,,,,,,,Minneapolis,Minnesota,President,Metropolitan Economic Development,Nonprofit/Business Groups,,M,1933,44,,,,,,,,1977,1977,,CHARLES,W,POE,JR,,W
MAURICE B MITCHELL,10,Kansas City,B,1.0,,,,,,,,,Denver,Colorado,Chancellor,University of Denver,Education,W,M,1915,62,,,,,,,,1977,1977,,MAURICE,B,MITCHELL,,,B
PAUL H HENSON,10,Kansas City,C,,Master's,Engineering,University of Nebraska,,,,,,Westwood,Kansas,Chairman & Chief Executive Officer,"United Telecommunications, Inc.",Telecommunications,W,M,1925,52,,,,,,,,1977,1979,,PAUL,H,HENSON,,,H
MARGARET S WILSON,11,Dallas,C,,Bachelor's,,University of Texas,,,,,,Austin,Texas,Chairman of the Board & Chief Executive Officer,Scarbroughs,Wholesale & Retail Trade,W,F,1931,46,,,,,,,,1977,1982,,MARGARET,S,WILSON,,,S
"FREDERICK G LARKIN, JR",12,San Francisco,A,1.0,,,,,,,,,Los Angeles,California,Chairman of the Board & Chief Executive Officer,Security Pacific National Bank,Banking,W,M,1913,64,,,,,,,,1977,1982,,FREDERICK,G,LARKIN,JR,,G
DOROTHY WRIGHT NELSON,12,San Francisco,C,,JD,Law,University of California at Los Angeles,1953,,,,,Los Angeles,California,Dean & Professor of Law,University of Southern California Law Center,Education,W,F,1928,49,,,,,,,,1977,1979,,DOROTHY,WRIGHT,NELSON,,,W
JOHN W ECKMAN,3,Philadelphia,C Chair,,Bachelor's,Economics,University of Pennsylvania,1943,,,,,Fort Washington,Pennsylvania,Chairman & President,"Rorer-Amchem, Inc.",Pharmaceuticals,W,M,1919,58,,,,,,,,1977,1981,,JOHN,W,ECKMAN,,,W
WERNER C BROWN,3,Philadelphia,C Dep. Chair,,Bachelor's,Chemistry,Duke University,,,,,,Wilmington,Delaware,President,Hercules Incorporated,Manufacturing,W,M,1919,58,,,,,,,,1977,1980,,WERNER,C,BROWN,,,C
JOSEPH H WILLIAMS,10,Kansas City,C Dep. Chair,,Bachelor's,,Yale University,1956,,,,,Tulsa,Oklahoma,President,Williams Companies,Real Estate & Construction,W,M,1933,44,,,,,,,,1977,1979,,JOSEPH,H,WILLIAMS,,,H
CORNELL C MAIER,12,San Francisco,C Dep. Chair,,Bachelor's,Electrical engineering,University of California at Berkeley,,,,,,Oakland,California,Chief Executive Officer & President,Kaiser Aluminum & Chemical Corporation,Engineering,W,M,1925,52,,,,,,,,1977,1979,,CORNELL,C,MAIER,,,C
IRVING A MATHEWS,11,Dallas,C Chair,,Bachelor's,Economics,University of Michigan,1938,,,,,San Antonio,Texas,Chairman of the Board & Chief Executive Officer,"Frost Bros., Inc.",Wholesale & Retail Trade,W,M,1917,60,,,,,,,,1977,1980,,IRVING,A,MATHEWS,,,A
HAROLD W ANDERSEN,10,Kansas City,C Chair,,Bachelor's,Journalism,University of Nebraska,1945,,,,,Omaha,Nebraska,President,World Publishing Company,Publishing,W,M,1923,54,,,,,,,,1977,1979,,HAROLD,W,ANDERSEN,,,W
JOSEPH F ALIBRANDI,12,San Francisco,C Chair,,Bachelor's,Mechanical Engineering,Massachusetts Institute of Technology,1952,,,,,Los Angeles,California,President,Whittaker Corporation,Manufacturing,W,M,1929,48,,,,,,,,1977,1979,,JOSEPH,F,ALIBRANDI,,,F
RICHARD D HILL,1,Boston,A,1.0,Master's,Business,Dartmouth College,1942,,,,,Boston,Massachusetts,Chairman of the Board,First National Bank Boston,Banking,W,M,1919,59,,,,,,,,1978,1980,,RICHARD,D,HILL,,,D
CAROL R GOLDBERG,1,Boston,B,2.0,,,,,,,,,Boston,Massachusetts,President,Stop & Shop Manufacturing Company,Manufacturing,W,F,1931,47,,,,,,,,1978,1982,,CAROL,R,GOLDBERG,,,R
JAMES WHELDEN,2,New York,A,3.0,Bachelor's,,Bentley University,1949,,,,,Ballston Spa,New York,President,Ballston Spa National Bank,Banking,W,M,1927,51,,,,,,,,1978,1981,,JAMES,,WHELDEN,,,
GERTRUDE G MICHELSON,2,New York,C,,JD,Law,Columbia University,1947,,,,,New York,New York,Senior Vice President,Macy's of New York,Wholesale & Retail Trade,W,F,1925,53,,,,,,,,1978,1982,,GERTRUDE,G,MICHELSON,,,G
"WILSON M BROWN, JR",3,Philadelphia,A,1.0,,,,,,,,,Malvern,Pennsylvania,Chief Executive Officer & President,Southeast National Bank of Pennsylvania,Banking,W,M,1926,52,,,,,,,,1978,1978,,WILSON,M,BROWN,JR,,M
DONALD J SEEBOLD,3,Philadelphia,A,3.0,,,,,,,,,Danville,Pennsylvania,President,First National Bank of Danville,Banking,W,M,,,,,,,,,,1978,1982,,DONALD,J,SEEBOLD,,,J
JOHN A GELBACH,4,Cleveland,A,1.0,,,,,,,,,Cleveland,Ohio,Chairman of the Board,Central National Bank of Cleveland,Banking,,M,1918,60,,,,,,,,1978,1980,,JOHN,A,GELBACH,,,A
HAYS T WATKINS,4,Cleveland,B,1.0,Master's,Business,Northwestern University,1948,,,,,Cleveland,Ohio,Chairman & President,"Chessie System, Inc.",Transportation,W,M,1926,52,,,,,,,,1978,1980,,HAYS,T,WATKINS,,,T
ARNOLD ROBERT WEBER,4,Cleveland,C,,Bachelor's,,University of Illinois,1950,,,,,Pittsburgh,Pennsylvania,Provost,Carnegie-Mellon University,Education,W,M,1929,49,,,,,,,,1978,1978,,ARNOLD,ROBERT,WEBER,,,R
FREDERIC H PHILLIPS,5,Richmond,A,3.0,Bachelor's,,University of Virginia,1951,,,,,Roanoke,Virginia,President,New Bank of Roanoke,Banking,W,M,1930,48,,,,,,,,1978,1980,,FREDERIC,H,PHILLIPS,,,H
THOMAS A JORDAN,5,Richmond,B,2.0,,,,,,,,,Asheboro,North Carolina,Secretary & Treasurer,"Stuart Furniture Industries, Inc.",Manufacturing,W,M,1929,49,,,,,,,,1978,1980,,THOMAS,A,JORDAN,,,A
STEVEN MULLER,5,Richmond,C,,PhD,Government,Cornell University,1954,,,,,Baltimore,Maryland,President,Johns Hopkins University,Education,W,M,1927,51,,,,,,,,1978,1978,,STEVEN,,MULLER,,,
HUGH M WILLSON,6,Atlanta,A,3.0,Bachelor's,,University of California at Davis,,,,,,Athens,Tennessee,President,Citizens National Bank of Athens,Banking,,M,,,,,,,,,,1978,1983,,HUGH,M,WILLSON,,,M
"WILLIAM A FICKLING, JR",6,Atlanta,C Dep. Chair,,,,,,,,,,Macon,Georgia,Chairman & President,Charter Medical Corp.,Health Care Delivery,W,M,1903,75,,,,,,,,1978,1979,,WILLIAM,A,FICKLING,JR,,A
ARTHUR J DECIO,7,Chicago,B,2.0,Bachelor's,,DePaul University,,,,,,Elkhart,Indiana,Chairman of the Board & Chief Executive Officer,Skyline Corporation,Real Estate & Construction,W,M,1930,48,,,,,,,,1978,1980,,ARTHUR,J,DECIO,,,J
EDWARD F BRABEC,7,Chicago,C,,,,,,,,,,Chicago,Illinois,Business Manager,"Chicago Journeymen Plumbers, Local Union 130, U.A.",Labor,W,M,1931,47,,,,,,,,1978,1983,,EDWARD,F,BRABEC,,,F
JOHN SAGAN,7,Chicago,C Dep. Chair,,PhD,Economics,University of Illinois,1951,,,,,Dearborn,Michigan,Vice President & Treasurer,Ford Motor Company,Manufacturing,W,M,1921,57,,,,,,,,1978,1979,,JOHN,,SAGAN,,,
WILLIAM H STROUBE,8,St. Louis,C,,PhD,Plant Pathology,Louisiana State University,1953,,,,,Bowling Green,Kentucky,Associate Dean of Faculty Programs,Western Kentucky University,Education,,M,1924,54,,,,,,,,1978,1981,,WILLIAM,H,STROUBE,,,H
JAMES H SMABY,9,Minneapolis,A,2.0,,,,,,,,,Iron Mountain,Michigan,President,"Commercial National Bank & Trust, Co. of Iron Mountain",Banking,W,M,1927,51,,,,,,,,1978,1980,,JAMES,H,SMABY,,,H
SISTER GENEROSE GERVAIS,9,Minneapolis,C,,Master's,Hospital Administration,University of Minnesota,1954,,,,,Rochester,Minnesota,Administrator,St. Mary's Hospital,Health Care Delivery,W,F,1919,59,,,,,,,,1978,1985,SISTER,GENEROSE,,GERVAIS,,,
JOHN A MCKINNEY,10,Kansas City,B,1.0,JD,Law,Georgetown University,1951,,,,,Denver,Colorado,Chief Executive Officer & President,Johns-Manville Corporation,Manufacturing,W,M,1923,55,,,,,,,,1978,1979,,JOHN,A,MCKINNEY,,,A
"JAMES G HARLOW, JR",10,Kansas City,B,3.0,Bachelor's,Engineering,University of Oklahoma,,,,,,Oklahoma City,Oklahoma,President,Oklahoma Gas and Electric Co.,Utilities,W,M,1934,44,,,,,,,,1978,1983,,JAMES,G,HARLOW,JR,,G
OLE R METTLER,12,San Francisco,A,2.0,Bachelor's,,University of California,1940,,,,,Lodi,California,Chairman of the Board & President,Farmers & Merchants Bank of Central California,Banking,W,M,1917,61,,,,,,,,1978,1983,,OLE,R,METTLER,,,R
JR VAUGHAN,12,San Francisco,B,1.0,,,,,,,,,Los Angeles,California,"Chairman, Chief Executive Officer, & President",Knudsen Corporation,Real Estate & Construction,W,M,,,,,,,,,,1978,1983,JR,,,VAUGHAN,,,
BORIS YAVITZ,2,New York,C Dep. Chair,,PhD,,Columbia University,1964,,,,,New York,New York,Dean,Graduate School of Business of Columbia University,Education,W,M,1923,55,,,,,,,,1978,1982,,BORIS,,YAVITZ,,,
ARMAND C STALNAKER,8,St. Louis,C Chair,,PhD,Personal Psychology,Ohio State University,,,,,,St. Louis,Missouri,Chairman & President,General American Life Insurance Co.,Insurance,W,M,1916,62,,,,,,,,1978,1982,,ARMAND,C,STALNAKER,,,C
ROBERT H KNIGHT,2,New York,C Chair,,JD,Law,University of Virginia,1947,,,,,New York,New York,Partner,"Shearman & Sterling, Attorneys",Law,W,M,1919,59,,,,,,,,1978,1982,,ROBERT,H,KNIGHT,,,H
MACEO A SLOAN,5,Richmond,C Dep. Chair,,JD,Law,North Carolina University,1979,,,,,Durham,North Carolina,Executive Vice President,North Carolina Mutual Life Insurance Co.,Insurance,NW,M,1949,29,,,,,,,,1978,1978,,MACEO,A,SLOAN,,,A
ROBERT E KIRBY,4,Cleveland,C Chair,,Master's,Business,Harvard University,,,,,,Pittsburgh,Pennsylvania,Vice Chairman of Operations,Westinghouse Electric Corporation,Manufacturing,W,M,1919,59,,,,,,,,1978,1980,,ROBERT,E,KIRBY,,,E
"CLIFFORD M KIRTLAND, JR",6,Atlanta,C Chair,,Master's,Business,Harvard University,1947,,,,,Atlanta,Georgia,President,Cox Broadcasting Corporation,Telecommunications,W,M,1924,54,,,,,,,,1978,1978,,CLIFFORD,M,KIRTLAND,JR,,M
ROBERT HENRY STROTZ,7,Chicago,C Chair,,Bachelor's,Economics,University of Chicago,1942,,,,,Evanston,Illinois,Leo,Northwestern University,Education,W,M,1922,56,,,,,,,,1978,1979,,ROBERT,HENRY,STROTZ,,,H
OTIS ARNOLD SINGLETARY,4,Cleveland,C Dep. Chair,,PhD,,Louisiana State University,1954,,,,,Lexington,Kentucky,President,University of Kentucky,Education,W,M,1921,57,,,,,,,,1978,1978,,OTIS,ARNOLD,SINGLETARY,,,A
WAYNE D ANGELL,10,Kansas City,A,3.0,PhD,Economics,Ottowa University,1957,,,,,Omaha,Nebraska,President,Council Grove National Bank Council,Banking,W,M,1930,49,"Governor, Board of Governors",,,,"Governor, Board of Governors",1986,1994,1979,1985,,WAYNE,D,ANGELL,,,D
FRED A WHITE,1,Boston,A,3.0,,,,,,,,,Hanover,New Hampshire,President,Dartmouth National Bank of Hanover,Banking,,M,,,,,,,,,,1979,1981,,FRED,A,WHITE,,,A
ROBERT D KILPATRICK,1,Boston,B,3.0,,,,,,,,,Hartford,Connecticut,Chief Executive Officer & President,Connecticut General Life Insurance Co.,Insurance,W,M,1924,55,,,,,,,,1979,1981,,ROBERT,D,KILPATRICK,,,D
ROBERT PAUL HENDERSON,1,Boston,C Dep. Chair,,Master's,Business,Amos Tuck School of Business,1954,,,,,Lexington,Massachusetts,Chief Executive Officer & President,Itek Corp.,Manufacturing,W,M,1931,48,,,,,,,,1979,1980,,ROBERT,PAUL,HENDERSON,,,P
JOHN R BIECHLER,3,Philadelphia,A,1.0,,,,,,,,,Harrisburg,Pennsylvania,Chief Executive Officer & President,Commonwealth National Bank of Harrisburg,Banking,W,M,1920,59,,,,,,,,1979,1980,,JOHN,R,BIECHLER,,,R
ROBERT H DEACON,3,Philadelphia,A,2.0,Master's,Banking,,,,,,,Bordentown,New Jersey,President,Bank of Mid-Jersey,Banking,W,M,1927,52,,,,,,,,1979,1981,,ROBERT,H,DEACON,,,H
RICHARD P HAUSER,3,Philadelphia,B,3.0,Master's,Business,Columbia University,,,,,,Philadelphia,Pennsylvania,Chairman & Chief Executive Officer,John Wanamaker,"Media, Marketing, & Public Relations",W,M,1935,44,,,,,,,,1979,1984,,RICHARD,P,HAUSER,,,P
EVERETT L MAFFETT,4,Cleveland,A,3.0,Bachelor's,Business,Miami University,1935,,,,,Eaton,Ohio,Chief Executive Officer & President,Eaton National Bank & Trust Co.,Banking,,M,1913,66,,,,,,,,1979,1981,,EVERETT,L,MAFFETT,,,L
WALTER J ROBB,4,Cleveland,B,3.0,,,,,,,,,Granville,Ohio,Chairman & Senior Partner,"Proctor, Robb & Company",Accounting,W,M,1913,66,,,,,,,,1979,1981,,WALTER,J,ROBB,,,J
JL JACKSON,4,Cleveland,C,,Bachelor's,Petroleum engineering,University of Texas,,,,,,Lexington,Kentucky,President,Falcon Coal Company Inc,"Energy, Mining, & Extraction",,M,1932,47,,,,,,,,1979,1979,,JL,,JACKSON,,,
"VINCENT C BURKE, JR",5,Richmond,A,1.0,JD,Law,Georgetown University,1950,,,,,Washington,D.C.,Chairman of the Board & Chief Executive Officer,Riggs National Bank of Washington D.C.,Banking,W,M,1923,56,,,,,,,,1979,1981,,VINCENT,C,BURKE,JR,,C
