"Symbol
",Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,"Founded
"
"LEN
",Lennar,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LEN&action=getcompany,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,"0000920760
","1954
"
"LLY
",Eli Lilly & Co,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LLY&action=getcompany,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,0000059478,"1876
"
"LNC
",Lincoln National,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LNC&action=getcompany,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,"0000059558
","1905
"
"LIN
",Linde,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LIN&action=getcompany,Materials,Industrial Gases,"Guildford, England",1992-07-01,0001707925,"1879
"
"LYV
",Live Nation Entertainment,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LYV&action=getcompany,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,0001335258,"2010
"
"LKQ
",LKQ Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LKQ&action=getcompany,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,0001065696,"1998
"
"LMT
",Lockheed Martin,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LMT&action=getcompany,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,0000936468,"1995
"
"L
",Loews Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=L&action=getcompany,Financials,Multi-line Insurance,New York City,,"0000060086
","1959
"
"LOW
",Lowe's,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LOW&action=getcompany,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,0000060667,"1904/1946/1959
"
"LUMN
",Lumen Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LUMN&action=getcompany,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999-03-25,"0000018926
","1983 (1877)
"
"LYB
",LyondellBasell,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LYB&action=getcompany,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,"0001489393
","2007
"
"MTB
",M&T Bank,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MTB&action=getcompany,Financials,Regional Banks,"Buffalo, New York",2004-02-23,0000036270,"1856
"
"MRO
",Marathon Oil,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MRO&action=getcompany,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,0000101778,"1887
"
"MPC
",Marathon Petroleum,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MPC&action=getcompany,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,"0001510295
","2009 (1887)
"
"MKTX
",MarketAxess,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MKTX&action=getcompany,Financials,Financial Exchanges & Data,New York City,2019-07-01,"0001278021
","2000
"
"MAR
",Marriott International,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MAR&action=getcompany,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,0001048286,"1927
"
"MMC
",Marsh & McLennan,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MMC&action=getcompany,Financials,Insurance Brokers,New York City,1987-08-31,0000062709,"1905
"
"MLM
",Martin Marietta Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MLM&action=getcompany,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,0000916076,"1993
"
"MAS
",Masco,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MAS&action=getcompany,Industrials,Building Products,"Livonia, Michigan",1981-06-30,"0000062996
","1929
"
"MA
",Mastercard,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MA&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,0001141391,"1966
"
"MKC
",McCormick & Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MKC&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,0000063754,"1889
"
"MXIM
",Maxim Integrated,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MXIM&action=getcompany,Information Technology,Semiconductors,"San Jose, California",2018-12-03,0000743316,"1983
"
"MCD
",McDonald's,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MCD&action=getcompany,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,0000063908,"1940
"
"MCK
",McKesson Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MCK&action=getcompany,Health Care,Health Care Distributors,"Irving, Texas",,0000927653,"1833
"
"MDT
",Medtronic,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MDT&action=getcompany,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,0001613103,"1949
"
"MRK
",Merck & Co.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MRK&action=getcompany,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,0000310158,"1891
"
"MET
",MetLife,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MET&action=getcompany,Financials,Life & Health Insurance,New York City,,0001099219,"1868
"
"MTD
",Mettler Toledo,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MTD&action=getcompany,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,0001037646,"1945
"
"MGM
",MGM Resorts International,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MGM&action=getcompany,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,0000789570,"1986
"
"MCHP
",Microchip Technology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MCHP&action=getcompany,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,0000827054,"1989
"
"MU
",Micron Technology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MU&action=getcompany,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,0000723125,"1978
"
"MSFT
",Microsoft,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MSFT&action=getcompany,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,0000789019,"1975
"
"MAA
",Mid-America Apartments,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MAA&action=getcompany,Real Estate,Residential REITs,"Memphis, Tennessee",2016-12-02,0000912595,"1977
"
"MHK
",Mohawk Industries,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MHK&action=getcompany,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,0000851968,"1878
"
"TAP
",Molson Coors Beverage Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TAP&action=getcompany,Consumer Staples,Brewers,"Denver, Colorado",1976-06-30,"0000024545
","2005 (Molson 1786, Coors 1873)
"
"MDLZ
",Mondelez International,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MDLZ&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,0001103982,"2012
"
"MPWR
",Monolithic Power Systems,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MPWR&action=getcompany,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,0001280452,"1997
"
"MNST
",Monster Beverage,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MNST&action=getcompany,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28,0000865752,"2012 (1935)
"
"MCO
",Moody's Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MCO&action=getcompany,Financials,Financial Exchanges & Data,New York City,,0001059556,"1909
"
"MS
",Morgan Stanley,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MS&action=getcompany,Financials,Investment Banking & Brokerage,New York City,,0000895421,"1935
"
"MOS
",The Mosaic Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MOS&action=getcompany,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,"0001285785
","2004 (1865 / 1909)
"
"MSI
",Motorola Solutions,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MSI&action=getcompany,Information Technology,Communications Equipment,"Chicago, Illinois",,0000068505,"1928 (2011)
"
"MSCI
",MSCI,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MSCI&action=getcompany,Financials,Financial Exchanges & Data,New York City,2018-04-04,"0001408198
","1969
"
"NDAQ
",Nasdaq,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NDAQ&action=getcompany,Financials,Financial Exchanges & Data,New York City,2008-10-22,"0001120193
","1971
"
"NTAP
",NetApp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NTAP&action=getcompany,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1999-06-25,0001002047,"1992
"
"NFLX
",Netflix,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NFLX&action=getcompany,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,0001065280,"1997
"
"NWL
",Newell Brands,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NWL&action=getcompany,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1989-04-30,0000814453,"1903
"
"NEM
",Newmont,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NEM&action=getcompany,Materials,Gold,"Denver, Colorado",1969-06-30,0001164727,"1921
"
"NWSA
",News Corp (Class A),https://www.sec.gov/cgi-bin/browse-edgar?CIK=NWSA&action=getcompany,Communication Services,Publishing,New York City,2013-08-01,0001564708,"2013 (1980)
"
"NWS
",News Corp (Class B),https://www.sec.gov/cgi-bin/browse-edgar?CIK=NWS&action=getcompany,Communication Services,Publishing,New York City,2015-09-18,0001564708,"2013 (1980)
"
"NEE
",NextEra Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NEE&action=getcompany,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,"0000753308
","1984 (1925)
"
"NLSN
",Nielsen Holdings,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NLSN&action=getcompany,Industrials,Research & Consulting Services,New York City,2013-07-09,"0001492633
","1923
"
"NKE
",Nike,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NKE&action=getcompany,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988-11-30,0000320187,"1964
"
"NI
",NiSource,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NI&action=getcompany,Utilities,Multi-Utilities,"Merrillville, Indiana",,0001111711,"1912
"
"NSC
",Norfolk Southern,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NSC&action=getcompany,Industrials,Railroads,"Norfolk, Virginia",1957-03-04,0000702165,"1881/1894 (1980)
"
"NTRS
",Northern Trust,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NTRS&action=getcompany,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,0000073124,"1889
"
"NOC
",Northrop Grumman,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NOC&action=getcompany,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1985-06-30,0001133421,"1994 (Northrop 1939, Grumman 1930)
"
"NLOK
",NortonLifeLock,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NLOK&action=getcompany,Information Technology,Application Software,"Tempe, Arizona",2003-03-25,0000849399,"1982
"
"NCLH
",Norwegian Cruise Line Holdings,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NCLH&action=getcompany,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,0001513761,"2011 (1966)
"
"NOV
",Nov,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NOV&action=getcompany,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005-03-14,0001021860,"1841
"
"NRG
",NRG Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NRG&action=getcompany,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010-01-29,0001013871,"1992
"
"NUE
",Nucor,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NUE&action=getcompany,Materials,Steel,"Charlotte, North Carolina",1985-04-30,0000073309,"1940
"
"NVDA
",Nvidia,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NVDA&action=getcompany,Information Technology,Semiconductors,"Santa Clara, California",2001-11-30,0001045810,"1993
"
"NVR
",NVR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NVR&owner=exclude&action=getcompany&Find=Search,Consumer Discretionary,Homebuilding,"Reston, Virginia",2019-09-26,0000906163,"1980
"
"NXPI
",NXP,https://www.sec.gov/cgi-bin/browse-edgar?CIK=NXPI&action=getcompany,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021-03-22,0001413447,"1953
"
"ORLY
",O'Reilly Automotive,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ORLY&action=getcompany,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009-03-27,0000898173,"1957
"
"OXY
",Occidental Petroleum,https://www.sec.gov/cgi-bin/browse-edgar?CIK=OXY&action=getcompany,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1982-12-31,"0000797468
","1920
"
"ODFL
",Old Dominion Freight Line,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ODFL&action=getcompany,Industrials,Trucking,"Thomasville, North Carolina",2019-12-09,0000878927,"1934
"
"OMC
",Omnicom Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=OMC&action=getcompany,Communication Services,Advertising,New York City,,0000029989,"1986
"
"OKE
",Oneok,https://www.sec.gov/cgi-bin/browse-edgar?CIK=OKE&action=getcompany,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010-03-15,0001039684,"1906
"
"ORCL
",Oracle,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ORCL&action=getcompany,Information Technology,Application Software,"Austin, Texas",1989-08-31,0001341439,"1977
"
"OGN
",Organon & Co.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=OGN&action=getcompany,Health Care,Pharmaceuticals,"Jersey City, New Jersey",2021-06-03,0001821825,"2021
"
"OTIS
",Otis Worldwide,https://www.sec.gov/cgi-bin/browse-edgar?CIK=OTIS&action=getcompany,Industrials,Industrial Machinery,"Farmington, Connecticut",2020-04-03,"0001781335
","2020 (1853)
"
"PCAR
",Paccar,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PCAR&action=getcompany,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980-12-31,"0000075362
","1905
"
"PKG
",Packaging Corporation of America,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PKG&action=getcompany,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,0000075677,"1959
"
"PH
",Parker-Hannifin,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PH&action=getcompany,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,0000076334,"1917
"
"PAYX
",Paychex,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PAYX&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,0000723531,"1971
"
"PAYC
",Paycom,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PAYC&action=getcompany,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020-01-28,0001590955,"1998
"
"PYPL
",PayPal,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PYPL&action=getcompany,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,0001633917,"1998
"
"PENN
",Penn National Gaming,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PENN&action=getcompany,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",2021-03-22,0000921738,"1972
"
"PNR
",Pentair,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PNR&action=getcompany,Industrials,Industrial Machinery,"Worsley, England",2012-10-01,0000077360,"1966
"
"PBCT
",People's United Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PBCT&action=getcompany,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",2008-11-13,0001378946,"1842
"
"PEP
",PepsiCo,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PEP&action=getcompany,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04,0000077476,"1898
"
"PKI
",PerkinElmer,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PKI&action=getcompany,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,0000031791,"1937
"
"PRGO
",Perrigo,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PRGO&action=getcompany,Health Care,Pharmaceuticals,"Dublin, Ireland",2011-12-19,"0001585364
","2013 (1887)
"
"PFE
",Pfizer,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PFE&action=getcompany,Health Care,Pharmaceuticals,New York City,1957-03-04,0000078003,"1849
"
"PM
",Philip Morris International,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PM&action=getcompany,Consumer Staples,Tobacco,New York City,2008-03-31,"0001413329
","2008 (1847)
"
"PSX
",Phillips 66,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PSX&action=getcompany,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,"0001534701
","2012 (1917)
"
"PNW
",Pinnacle West Capital,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PNW&action=getcompany,Utilities,Multi-Utilities,"Phoenix, Arizona",,0000764622,"1985
"
"PXD
",Pioneer Natural Resources,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PXD&action=getcompany,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,0001038357,"1997
"
"PNC
",PNC Financial Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PNC&action=getcompany,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,0000713676,"1845
"
"POOL
",Pool Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=POOL&action=getcompany,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,0000945841,"1993
"
"PPG
",PPG Industries,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PPG&action=getcompany,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,0000079879,"1883
"
"PPL
",PPL,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PPL&action=getcompany,Utilities,Electric Utilities,"Allentown, Pennsylvania",,"0000922224
","1920
"
"PFG
",Principal Financial Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PFG&action=getcompany,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,0001126328,"1879
"
"PG
",Procter & Gamble,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PG&action=getcompany,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,0000080424,"1837
"
"PGR
",Progressive Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PGR&action=getcompany,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,0000080661,"1937
"
"PLD
",Prologis,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PLD&action=getcompany,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,0001045609,"1983
"
"PRU
",Prudential Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PRU&action=getcompany,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,0001137774,"1875
"
"PTC
",PTC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PTC&action=getcompany,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,0000857005,"1985
"
"PEG
",Public Service Enterprise Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PEG&action=getcompany,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,"0000788784
","1903
"
"PSA
",Public Storage,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PSA&action=getcompany,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,"0001393311
","1972
"
"PHM
",PulteGroup,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PHM&action=getcompany,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,"0000822416
","1956
"
"PVH
",PVH,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PVH&action=getcompany,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York City,2013-02-15,0000078239,"1881
"
"QRVO
",Qorvo,https://www.sec.gov/cgi-bin/browse-edgar?CIK=QRVO&action=getcompany,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,0001604778,"2015
"
"PWR
",Quanta Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=PWR&action=getcompany,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,0001050915,"1997
"
"QCOM
",Qualcomm,https://www.sec.gov/cgi-bin/browse-edgar?CIK=QCOM&action=getcompany,Information Technology,Semiconductors,"San Diego, California",,0000804328,"1985
"
"DGX
",Quest Diagnostics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DGX&action=getcompany,Health Care,Health Care Services,"Secaucus, New Jersey",2002-12-12,0001022079,"1967
"
"RL
",Ralph Lauren Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RL&action=getcompany,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York City,2007-02-02,0001037038,"1967
"
"RJF
",Raymond James Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RJF&action=getcompany,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,0000720005,"1962
"
"RTX
",Raytheon Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RTX&action=getcompany,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,0000101829,"1922
"
"O
",Realty Income Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=O&action=getcompany,Real Estate,Retail REITs,"San Diego, California",2015-04-07,0000726728,"1969
"
"REG
",Regency Centers,https://www.sec.gov/cgi-bin/browse-edgar?CIK=REG&action=getcompany,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,0000910606,"1963
"
"REGN
",Regeneron Pharmaceuticals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=REGN&action=getcompany,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,0000872589,"1988
"
"RF
",Regions Financial Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RF&action=getcompany,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,0001281761,"1971
"
"RSG
",Republic Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RSG&action=getcompany,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,0001060391,"1998 (1981)
"
"RMD
",ResMed,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RMD&action=getcompany,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,0000943819,"1989
"
"RHI
",Robert Half International,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RHI&action=getcompany,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,0000315213,"1948
"
"ROK
",Rockwell Automation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ROK&action=getcompany,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,"0001024478
","1903
"
"ROL
",Rollins,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ROL&action=getcompany,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,0000084839,"1948
"
"ROP
",Roper Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ROP&action=getcompany,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,0000882835,"1981
"
"ROST
",Ross Stores,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ROST&action=getcompany,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,0000745732,"1982
"
"RCL
",Royal Caribbean Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=RCL&action=getcompany,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,0000884887,"1997
"
"SPGI
",S&P Global,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SPGI&action=getcompany,Financials,Financial Exchanges & Data,New York City,,"0000064040
","1917
"
"CRM
",Salesforce,https://www.sec.gov/cgi-bin/browse-edgar?CIK=CRM&action=getcompany,Information Technology,Application Software,"San Francisco, California",2008-09-15,0001108524,"1999
"
"SBAC
",SBA Communications,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SBAC&action=getcompany,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,"0001034054
","1989
"
"SLB
",Schlumberger,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SLB&action=getcompany,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,0000087347,"1926
"
"STX
",Seagate Technology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=STX&action=getcompany,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,0001137789,"1979
"
"SEE
",Sealed Air,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SEE&action=getcompany,Materials,Paper Packaging,"Charlotte, North Carolina",1957-03-04,0001012100,"1960
"
"SRE
",Sempra Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SRE&action=getcompany,Utilities,Multi-Utilities,"San Diego, California",,0001032208,"1998
"
"NOW
",ServiceNow,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOW,Information Technology,Systems Software,"Santa Clara, California",2019-11-21,0001373715,"2003
"
"SHW
",Sherwin-Williams,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SHW&action=getcompany,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,0000089800,"1866
"
"SPG
",Simon Property Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SPG&action=getcompany,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,"0001063761
","2003
"
"SWKS
",Skyworks Solutions,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SWKS&action=getcompany,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,0000004127,"2002
"
"SNA
",Snap-on,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SNA&action=getcompany,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,"0000091440
","1920
"
"SO
",Southern Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SO&action=getcompany,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,0000092122,"1945
"
"LUV
",Southwest Airlines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LUV&action=getcompany,Industrials,Airlines,"Dallas, Texas",1994-07-01,0000092380,"1967
"
"SWK
",Stanley Black & Decker,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SWK&action=getcompany,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,"0000093556
","1843
"
"SBUX
",Starbucks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SBUX&action=getcompany,Consumer Discretionary,Restaurants,"Seattle, Washington",,0000829224,"1971
"
"STT
",State Street Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=STT&action=getcompany,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,0000093751,"1792
"
"STE
",Steris,https://www.sec.gov/cgi-bin/browse-edgar?CIK=STE&action=getcompany,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,0001757898,"1985
"
"SYK
",Stryker Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SYK&action=getcompany,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,0000310764,"1941
"
"SIVB
",SVB Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SIVB&action=getcompany,Financials,Regional Banks,"Santa Clara, California",2018-03-19,0000719739,"1983
"
